# Table from Clouard and Bonneville, GSA Spec Paper, 2005 (their table 2)
# 1/24/2007:	Modified Hawaii-Emperor data to account for Sharp & Clague, 2006, Science
#		Commented out Yuriyaku which is clearly too young.
#		Added Tokelau and Gilbert ages from Koppers and Staudigel, 2005, Science
# 1/28/2008:	Added updated values from Koppers et al, 2003 GGG, and Mahoney et al, 2005 for Shatsky
# 9/15/2008:	New prelim ages for Samoa from Koppers et al, 2008 [Now commented out]
# 6/14/2012:	New ages for Samoa from Koppers et al., 2011a
# 6/14/2012:	New ages for Louisville from Koppers et al., 2011b
#		Sites with more than one distinct ages are named NAME-A, NAME-B, with A youngest
# 9/22/2013:	New ages for Hawaii from O'Connor et al., 2013
#
#Lon	Lat	Average_age(Ma)	Average_error(Ma)	Tag	Name(island,seamount,plateau_or_sample)	Island_or_seamount_chain
#-------------------------------AUSTRAL---------------------------------
180.31	28.93	31.7	1.0	Helsley			HI	Hawaii-Emperor
180.31	28.93	32.0	1.0	Helsley			HI	Hawaii-Emperor
181.50	28.817	31.0	0.20	unnamed			HI	Hawaii-Emperor
175.90	30.90	38.70	0.20	Colahan			HI	Hawaii-Emperor
174.30	31.80	41.50	0.30	Abbott			HI	Hawaii-Emperor
# O'Connor 2013 Abbott [3]:
174.26	31.81	41.4	0.7	Abbott			HI	Hawaii-Emperor
174.26	31.81	41.4	0.5	Abbott			HI	Hawaii-Emperor
174.26	31.81	41.3	0.9	Abbott			HI	Hawaii-Emperor
171.60	33.70	47.9	0.20	Kimmei			HI	Hawaii-Emperor
172.30	32.10	46.7	0.1	Daikakuji		HI	Hawaii-Emperor
172.00	32.70	43.40	1.60	Yuryaku			HI	Hawaii-Emperor
# O'Connor 2013 Yuryaku [9] (not listing the young ~31 Ma ages due to a separate process):
172.19	32.57	43.20	0.7	Yuryaku			HI	Hawaii-Emperor
172.19	32.57	42.70	1.4	Yuryaku			HI	Hawaii-Emperor
172.19	32.57	43.10	0.9	Yuryaku			HI	Hawaii-Emperor
172.19	32.57	45.00	0.4	Yuryaku			HI	Hawaii-Emperor
172.19	32.57	44.90	0.6	Yuryaku			HI	Hawaii-Emperor
172.19	32.57	45.10	0.4	Yuryaku			HI	Hawaii-Emperor
172.19	32.57	47.40	0.5	Yuryaku			HI	Hawaii-Emperor
172.19	32.57	47.30	0.9	Yuryaku			HI	Hawaii-Emperor
172.19	32.57	47.30	0.6	Yuryaku			HI	Hawaii-Emperor
# O'Connor 2013 Daikakuji [7]:
172.42	32.08	47.3	1.1	Daikakuji		HI	Hawaii-Emperor
172.42	32.08	47.5	0.5	Daikakuji		HI	Hawaii-Emperor
172.42	32.08	47.5	0.9	Daikakuji		HI	Hawaii-Emperor
172.42	32.08	47.5	0.9	Daikakuji		HI	Hawaii-Emperor
172.42	32.08	47.5	0.7	Daikakuji		HI	Hawaii-Emperor
172.42	32.08	47.5	0.5	Daikakuji		HI	Hawaii-Emperor
172.42	32.08	47.4	1.1	Daikakuji		HI	Hawaii-Emperor
# O'Connor 2013 Kammu [4]:
172.62	32.28	43.7	0.6	Kammu			HI	Hawaii-Emperor
172.62	32.28	43.7	0.5	Kammu			HI	Hawaii-Emperor
172.62	32.28	43.6	0.5	Kammu			HI	Hawaii-Emperor
172.62	32.28	44.0	0.7	Kammu			HI	Hawaii-Emperor
#
171.83	34.778	50.40	0.1	Koko-S			HI	Hawaii-Emperor
170.953	35.582	52.60	0.8	Koko-N			HI	Hawaii-Emperor
#171.83	34.778	49.16	0.21	Koko			HI	Hawaii-Emperor
170.30	37.50	55.20	0.70	Ojin			HI	Hawaii-Emperor
171.20	38.40	55.40	0.90	Jingu			HI	Hawaii-Emperor
170.20	41.20	56.20	0.40	Nintoku			HI	Hawaii-Emperor
170.20	41.20	55.51	0.22	Nintoku			HI	Hawaii-Emperor
170.00	44.00	60.9	0.30	Suiko			HI	Hawaii-Emperor
167.74	50.95	75.82	0.61	Detroit			HI	Hawaii-Emperor
168.37	51.45	81.2	1.3	Detroit			HI	Hawaii-Emperor
#-------------------------------JAPANESE--------------------------------
147.90	32.90	108.30	1.00	Winterer		JS	Japanese_Seamounts
151.20	31.60	103.70	1.80	Isakov			JS	Japanese_Seamounts
153.50	29.50	94.00	1.00	Makarov			JS	Japanese_Seamounts
151.90	27.30	120.30	0.80	MIT			JS	Japanese_Seamounts
#152.30	24.20	78.00	2.00	Seamount_D1		JS	Japanese_Seamounts
143.90	34.30	118.1	2.0	Taikuyo-Daini		JS	Japanese_Seamounts
144.32	34.18	117.5	1.1	Taikuyo-Daisan		JS	Japanese_Seamounts
#-------------------------------TYPHOON---------------------------------
148.72	23.88	130.0	10.0	Seth			XX	Typhoon_Seamounts
#-------------------------------KODIAK----------------------------------
210.80	56.90	23.78	0.36	Kodiak			KO	Kodiak-Bowie
219.70	55.00	14.9	0.40	Welker			KO	Kodiak-Bowie
223.10	54.60	3.96	0.15	Dickins			KO	Kodiak-Bowie
224.00	53.50	2.81	0.10	Hodgkins-A		KO	Kodiak-Bowie
224.00	53.50	14.22	1.54	Hodgkins-B		KO	Kodiak-Bowie
#223.50	53.70	17.40	1.70	Davidson		KO	Kodiak-Bowie (Min age)
222.60	54.00	18.15	2.05	Denson			KO	Kodiak-Bowie
213.40	56.50	21.0	0.42	Giacomini		KO	Kodiak-Bowie
224.40	53.30	0.08	0.10	Bowie			KO	Kodiak-Bowie
#-------------------------------LINE------------------------------------
#189.00	20.00	73.45	0.13	SO33-D72		LI	Line_Islands
#191.00	18.00	128.0	5.00	142D			LI	Line_Islands
191.25	19.50	82.54	0.38	Horizon_Guyot		LI	Line_Islands
191.00	19.50	88.10	0.40	143D-102		LI	Line_Islands
191.4	17.0	84.84	0.19	Karin_Ridge		LI	Line_Islands
191.78	16.50	86.0	0.90	RD63-7			LI	Line_Islands
193.50	15.00	82.00	0.90	RD61-1			LI	Line_Islands
191.00	14.45	55.57	2.12	137D			LI	Line_Islands
190.5	16.4	71.01	0.15	Johnston_Atoll		LI	Line_Islands
189.60	15.7	71.25	0.23	West_Keli_(SO33-D28)	LI	Line_Islands
190.80	15.5	68.21	0.2	East_Keli_(SO33-D43)	LI	Line_Islands
190.0	14.0	68.11	0.21	SO37-D10		LI	Line_Islands
193.00	12.50	85.00	1.10	Nagata_(RD59-12)	LI	Line_Islands
194.20	12.10	84.40	0.90	Kapsitotwa_(133D)	LI	Line_Islands
